Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
30-Jan-21,30-01-2021,Recovered,14077,1,147,0,70,187,25,502,2,0,290,76,441,153,52,135,100,547,7032,2,16,283,1535,21,17,4,2,138,32,146,238,6,526,367,2,474,167,341,0
30-Jan-21,30-01-2021,Deceased,128,0,1,0,1,4,0,9,0,0,8,0,2,2,2,3,1,2,18,1,0,2,42,0,0,0,0,0,0,8,1,0,5,2,0,4,1,9,0
31-Jan-21,31-01-2021,Confirmed,11527,0,116,0,21,116,26,265,0,0,140,53,316,92,42,57,41,522,5266,1,8,226,2585,16,3,6,4,114,21,192,95,2,508,163,0,220,61,229,0
31-Jan-21,31-01-2021,Recovered,11882,0,127,1,54,162,12,195,0,0,211,60,335,110,32,70,63,465,5730,4,19,318,1670,8,9,8,0,141,41,242,194,9,523,276,0,369,86,338,0
31-Jan-21,31-01-2021,Deceased,116,0,0,0,0,2,0,3,0,0,4,2,0,1,3,0,1,4,21,0,0,3,40,0,0,0,0,0,1,6,0,0,6,1,0,8,1,9,0
01-Feb-21,01-02-2021,Confirmed,8579,0,64,0,13,75,32,322,0,0,121,60,298,92,25,44,42,388,3459,4,12,151,1948,4,0,0,5,79,28,194,96,1,502,118,1,171,51,179,0
01-Feb-21,01-02-2021,Recovered,13443,4,99,3,70,118,21,520,1,0,214,86,406,122,37,83,81,470,5215,3,7,260,3289,9,6,3,4,136,25,220,309,4,517,264,3,389,139,306,0
01-Feb-21,01-02-2021,Deceased,94,0,1,0,1,2,0,5,0,0,3,0,1,4,0,0,1,3,17,0,0,2,27,0,0,0,0,0,3,1,0,0,7,2,0,4,4,6,0
02-Feb-21,02-02-2021,Confirmed,11001,0,104,1,7,118,22,330,0,0,114,106,285,78,26,44,59,395,5716,2,20,168,1927,5,4,1,2,60,27,204,87,5,510,152,0,172,47,203,0
02-Feb-21,02-02-2021,Recovered,14250,0,147,0,37,173,15,276,0,0,160,62,422,103,38,83,81,412,5747,4,0,296,4011,6,9,1,0,138,26,171,235,2,521,221,2,462,80,309,0
02-Feb-21,02-02-2021,Deceased,113,0,2,0,0,4,1,5,0,0,2,0,1,1,1,2,2,3,16,0,0,3,30,0,1,0,0,0,0,12,2,2,4,1,0,6,3,9,0
03-Feb-21,03-02-2021,Confirmed,12925,0,95,0,14,92,36,351,0,0,150,63,283,69,59,65,46,426,6356,9,3,258,2992,9,6,3,16,71,23,187,92,2,514,185,0,195,54,201,0
03-Feb-21,03-02-2021,Recovered,17813,0,129,2,59,138,31,202,0,0,153,70,528,104,14,61,80,433,6380,5,5,250,7030,35,10,3,5,122,29,179,196,1,533,197,0,431,95,303,0
03-Feb-21,03-02-2021,Deceased,107,0,1,0,0,3,1,7,0,0,6,0,2,1,1,3,2,2,20,0,0,1,30,1,0,0,0,0,1,0,2,0,4,2,0,6,4,7,0
04-Feb-21,04-02-2021,Confirmed,12401,0,79,0,11,64,21,373,0,0,158,79,275,73,47,60,58,474,6102,5,4,166,2736,13,20,0,4,87,39,196,139,5,494,177,0,133,103,206,0
04-Feb-21,04-02-2021,Recovered,15788,0,87,1,30,109,19,387,0,0,165,56,330,128,16,75,64,470,6341,3,0,263,5339,11,9,5,6,112,25,160,192,9,517,198,5,263,92,301,0
04-Feb-21,04-02-2021,Deceased,120,0,0,0,1,2,1,6,0,0,7,2,1,2,1,2,0,2,17,0,0,2,46,0,0,0,0,1,0,7,0,0,4,2,0,6,4,4,0
05-Feb-21,05-02-2021,Confirmed,11711,3,97,0,7,90,24,336,0,0,154,56,267,84,71,66,41,430,5610,3,15,162,2628,9,27,4,5,97,50,199,116,2,489,169,1,158,47,194,0
